b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14
4.333387006,0.657043644,0.266438175,0.445364607,0.223637335,0.214048891,0.569399519,0.54255343,0.307296141,0.128825463,0.603583274,0.312363658,0.03565923,0.460751633
4.886492125,0.895547379,0.617271419,0.615184575,0.042567823,0.710866383,0.297856695,0.052596603,0.714831991,0.928315335,0.37092672,0.957678137,0.293060825,0.020884541
5.149544577,0.446634793,0.357175184,0.141093573,0.677203414,0.061044079,0.428078773,0.964886011,0.462036476,0.810721164,0.45904695,0.224460082,0.258149229,0.904734338
5.832548443,0.118230968,0.408994629,0.618516868,0.967644733,0.683309492,0.277753209,0.385569328,0.80741204,0.237608505,0.080621483,0.817855447,0.773050328,0.194750508
5.613484838,0.979529609,0.124172834,0.55925541,0.061952546,0.177145287,0.313364042,0.29924095,0.619704062,0.925769226,0.919670401,0.386848483,0.04606295,0.777703869
5.141731626,0.857246119,0.763997461,0.217129491,0.834505554,0.863671336,0.996988189,0.153250744,0.19422815,0.940616437,0.038058866,0.111756039,0.027153857,0.627250752
5.714194,0.872855226,0.440750032,0.666964428,0.357230776,0.1310849,0.036034169,0.060651579,0.225678425,0.436500247,0.289923351,0.140178676,0.584473551,0.661534455
5.903307731,0.432328037,0.500213252,0.20213197,0.076975765,0.023037737,0.379259621,0.907229398,0.40803818,0.015192552,0.983280639,0.874231126,0.12725114,0.713933552
5.610959856,0.811004667,0.667702627,0.916265745,0.251556168,0.843739046,0.131636873,0.44113459,0.676471863,0.077121596,0.823170526,0.10170075,0.413898606,0.030263268
5.45211716,0.12192979,0.59568077,0.405788396,0.449285671,0.44555562,0.749399707,0.060420907,0.442199271,0.052494176,0.086150247,0.842821813,0.678884738,0.384512236
5.888019396,0.245949852,0.342720167,0.603209283,0.59069374,0.36338045,0.575539237,0.134375493,0.753474161,0.797108634,0.53727379,0.891325206,0.989126482,0.353860197
6.407911033,0.175371311,0.425265059,0.869334702,0.531218189,0.461395985,0.713849793,0.699597532,0.411875661,0.053075527,0.752793365,0.960024848,0.423567766,0.78220087
6.482910685,0.749841759,0.527781385,0.398908801,0.973711279,0.301612754,0.828268075,0.350484798,0.816716403,0.872948372,0.47708109,0.324215533,0.519725897,0.892018889
6.903584994,0.467257465,0.869879202,0.585548026,0.250067683,0.844885719,0.091948768,0.756016816,0.116296779,0.320081068,0.914814775,0.572819285,0.844174074,0.335579961
6.208225801,0.101969456,0.028010059,0.1438322,0.559904923,0.628766629,0.204455152,0.605189883,0.756150378,0.307497398,0.332269581,0.59465301,0.080218066,0.177307862
6.563704261,0.256179068,0.034785795,0.91307503,0.914347293,0.098242912,0.04794181,0.203539738,0.92473665,0.299662839,0.225907184,0.072035089,0.993355334,0.903102885
6.967521269,0.645057713,0.392313421,0.634329801,0.256868492,0.81082837,0.788239962,0.793398208,0.336804084,0.53120091,0.174109012,0.655398594,0.394188768,0.311342373
6.218627634,0.219110934,0.380666807,0.620796489,0.350937807,0.397543084,0.706431208,0.629536083,0.440587099,0.678075257,0.252497228,0.398283887,0.692827625,0.12290746
6.592348133,0.562876317,0.668461847,0.581107533,0.088518278,0.430704646,0.659598057,0.442765589,0.452945425,0.925001261,0.94388604,0.361291178,0.519309402,0.339605665
7.611784107,0.698786082,0.435031816,0.958763102,0.846689147,0.231075191,0.330493736,0.523226144,0.765494712,0.682705968,0.844827517,0.507484208,0.190192287,0.340491493
7.180776817,0.36081206,0.300593999,0.91569386,0.637686812,0.764495547,0.061111631,0.818739813,0.791205419,0.79071444,0.825284496,0.528202587,0.39488024,0.838571473
7.260068914,0.836622392,0.020872661,0.515697653,0.297493114,0.708942322,0.838549234,0.879494648,0.466371449,0.890751712,0.84773912,0.72094277,0.183940627,0.228410617
7.674490425,0.928792526,0.560118766,0.114805021,0.052884492,0.821102036,0.66726169,0.646397524,0.649732998,0.149253135,0.536855018,0.687973347,0.053308941,0.335034715
7.375823332,0.528595924,0.082090549,0.264890302,0.127348783,0.586326897,0.178202471,0.69360979,0.169871109,0.078536917,0.891936293,0.107941221,0.316525214,0.986053146
7.094108229,0.55601904,0.059275789,0.240113884,0.024574366,0.789633924,0.637152861,0.570438863,0.356043696,0.895222276,0.318345747,0.965565236,0.108792672,0.547559649
7.059951631,0.972592579,0.595245527,0.49470098,0.18681124,0.548779287,0.704198917,0.647526944,0.452318626,0.302246158,0.639743265,0.739315106,0.636638896,0.774518916
,,,,,,,,,,,
